left,right,cosine
47,63,3.9909908248147987
10,84,3.9909863185179724
1,51,3.9909623853441736
33,174,3.9909478584198674
46,203,3.990940452100505
88,203,3.990921398777494
3,121,3.990910079203045
189,225,3.9908791560060823
0,176,3.990854924648045
87,113,3.990852045074715
6,70,3.9908472726301714
51,143,3.990801884807012
1,6,3.9907699252387343
43,143,3.990769771196314
37,86,3.99075834073898
51,118,3.990689167014826
83,149,3.9906873239791354
36,94,3.990658962091267
24,141,3.9906432234211486
101,156,3.990617160784799
8,214,3.99059012589629
154,160,3.9905571751916886
103,240,3.9905539126346015
222,230,3.990522671079259
56,202,3.990511701671097
56,57,3.9904428058364685
95,199,3.9904197502037917
135,212,3.9904115163830527
176,233,3.990381361941221
120,209,3.9903396434385154
143,206,3.9903320670641924
3,24,3.990331219538375
170,217,3.9903039252839045
4,43,3.990300821791351
